,Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type,Engagement_Rate
162,2023-03-29 12:25:42.207,General ,TWITTER,Community Engagement ,139835,1095,Photo,0.7830657560696536
163,2023-03-29 12:25:41.000,General ,FBPAGE,Community Engagement ,15882,171,Photo,1.0766905931242916
164,2023-03-29 12:12:54.000,Valorant,YOUTUBE,Evil Exhibited ,757,39,Video,5.151915455746367
165,2023-03-29 11:33:49.154,General ,TWITTER,Community Engagement ,11436,188,Video,1.6439314445610353
167,2023-03-29 11:01:11.963,General,LINKEDIN_COMPANY,Community Engagement ,888,23,Video,2.59009009009009
168,2023-03-29 11:00:24.083,General ,TWITTER,Community Engagement ,17971,150,Video,0.8346780924823327
169,2023-03-29 10:49:54.273,General ,TWITTER,Community Engagement ,504,19,Text,3.7698412698412698
170,2023-03-29 10:27:29.051,General ,TWITTER,Community Engagement ,1942,24,Text,1.235839340885685
172,2023-03-29 09:05:57.000,General ,INSTAGRAM,Community Engagement ,23671,1340,Video,5.66093532170166
173,2023-03-29 09:00:31.199,General ,TWITTER,Community Engagement ,17441,599,Video,3.4344360988475433
174,2023-03-29 09:00:26.006,DOTA2,TWITTER,Community Engagement ,7322,615,Video,8.39934444140945
176,2023-03-29 09:00:01.000,General ,FBPAGE,Community Engagement ,136321,19984,Video,14.659516875609773
177,2023-03-29 07:35:16.874,DOTA2,TWITTER,N/A ,153,11,Text,7.18954248366013
178,2023-03-29 07:30:02.783,DOTA2,TWITTER,Evil Exhibited ,1027,24,Photo,2.3369036027263874
179,2023-03-29 07:30:00.000,General ,FBPAGE,Evil Exhibited ,19260,1086,Photo,5.638629283489097
186,2023-03-28 23:10:26.864,CSGO,TWITTER,Community Engagement ,19297,250,Photo,1.2955381665543866
187,2023-03-28 21:29:00.323,CSGO,TWITTER,Community Engagement ,846,11,Photo,1.3002364066193852
188,2023-03-28 21:23:04.592,CSGO,TWITTER,Community Engagement ,2940,484,Video,16.462585034013603
189,2023-03-28 20:09:14.132,CSGO,TWITTER,Community Engagement ,1206,10,Photo,0.8291873963515755
190,2023-03-28 19:16:31.342,CSGO,TWITTER,Community Engagement ,2068,53,Photo,2.5628626692456478
191,2023-03-28 17:46:04.371,CSGO,TWITTER,Community Engagement ,665,10,Photo,1.5037593984962405
192,2023-03-28 17:30:13.000,General ,INSTAGRAM,Evil Exhibited ,7031,107,Photo,1.5218318873559948
193,2023-03-28 17:30:04.000,General ,FBPAGE,Evil Exhibited ,13976,93,Photo,0.6654264453348597
194,2023-03-28 17:30:03.071,General ,TWITTER,Evil Exhibited ,12802,100,Photo,0.7811279487580066
195,2023-03-28 17:29:49.000,General ,YOUTUBE,N/A ,136,5,Video,3.6764705882352944
196,2023-03-28 17:08:00.347,DOTA2,TWITTER,N/A ,732,24,Text,3.278688524590164
197,2023-03-28 16:47:45.979,CSGO,TWITTER,Community Engagement ,997,15,Photo,1.5045135406218655
199,2023-03-28 16:31:34.000,General ,INSTAGRAM,Community Engagement ,4544,0,Photo,0.0
200,2023-03-28 16:30:01.626,General ,TWITTER,Community Engagement ,61508,1095,Photo,1.780256226832282
201,2023-03-28 16:30:00.000,General ,FBPAGE,Community Engagement ,16669,133,Photo,0.7978882956386105
204,2023-03-28 15:30:10.756,CSGO,TWITTER,Community Engagement ,816,8,Photo,0.9803921568627451
205,2023-03-28 15:30:01.114,General ,TWITTER,Community Engagement ,13362,65,Photo,0.48645412363418655
206,2023-03-28 14:59:06.000,Valorant,YOUTUBE,Evil Exhibited ,3,0,Video,0.0
207,2023-03-28 14:35:12.155,CSGO,TWITTER,Community Engagement ,2365,38,Photo,1.6067653276955602
208,2023-03-28 14:03:40.000,General ,TIKTOK_BUSINESS,N/A ,196,11,Video,5.612244897959184
209,2023-03-28 14:02:31.000,General ,INSTAGRAM,N/A ,24772,1145,Video,4.622154044889391
210,2023-03-28 14:00:08.000,General ,FBPAGE,Community Engagement ,16977,140,Photo,0.8246451080874123
211,2023-03-28 14:00:06.095,General ,TWITTER,Community Engagement ,24400,435,Photo,1.7827868852459017
212,2023-03-28 13:43:19.909,General ,TWITTER,Evil Exhibited ,434,30,Text,6.912442396313365
213,2023-03-28 12:43:53.000,General ,FBPAGE,Evil Exhibited ,8040,258,Video,3.2089552238805967
215,2023-03-28 12:42:13.831,General ,TWITTER,Evil Exhibited ,43253,1126,Video,2.603287633227753
222,2023-03-28 12:41:08.000,General ,INSTAGRAM,Evil Exhibited ,7136,104,Video,1.4573991031390134
224,2023-03-28 12:23:33.000,General ,INSTAGRAM,N/A ,8580,178,Video,2.0745920745920747
225,2023-03-28 10:45:50.000,Valorant,YOUTUBE,Evil Exhibited ,1,0,Video,0.0
226,2023-03-27 22:18:00.313,CSGO,TWITTER,Community Engagement ,894,9,Photo,1.006711409395973
227,2023-03-27 21:11:28.792,CSGO,TWITTER,Community Engagement ,1219,14,Photo,1.1484823625922889
228,2023-03-27 20:05:41.540,CSGO,TWITTER,Community Engagement ,691,7,Photo,1.0130246020260492
229,2023-03-27 19:04:39.208,CSGO,TWITTER,Community Engagement ,2200,36,Photo,1.6363636363636365
230,2023-03-27 17:08:22.061,CSGO,TWITTER,Community Engagement ,727,7,Photo,0.9628610729023385
231,2023-03-27 16:00:23.000,General ,INSTAGRAM,Community Engagement ,4699,0,Photo,0.0
232,2023-03-27 15:36:15.844,CSGO,TWITTER,Community Engagement ,1128,14,Photo,1.2411347517730498
233,2023-03-27 14:34:59.016,CSGO,TWITTER,Community Engagement ,1886,24,Photo,1.2725344644750796
234,2023-03-27 14:31:09.237,General ,TWITTER,Community Engagement ,22549,725,Photo,3.2152201871479886
235,2023-03-27 14:30:21.000,General ,INSTAGRAM,Community Engagement ,8380,327,Carousel,3.902147971360382
236,2023-03-27 11:23:33.135,General ,TWITTER,Community Engagement ,1648,42,Text,2.5485436893203883
237,2023-03-27 11:02:01.106,General ,TWITTER,Community Engagement ,97345,808,Photo,0.8300374955056757
238,2023-03-27 10:41:10.000,General ,TIKTOK_BUSINESS,N/A ,2595,134,Video,5.163776493256262
239,2023-03-27 10:20:24.328,General ,TWITTER,Evil Exhibited ,297,12,Text,4.040404040404041
240,2023-03-27 10:00:54.566,General ,TWITTER,Evil Exhibited ,26952,719,Video,2.6677055506084892
241,2023-03-27 09:00:11.000,General ,FBPAGE,Community Engagement ,26354,277,Photo,1.0510738407831828
243,2023-03-27 08:51:57.745,DOTA2,TWITTER,N/A ,588,42,Photo,7.142857142857142
244,2023-03-26 23:16:47.935,General ,TWITTER,Evil Exhibited ,114,2,Text,1.7543859649122806
245,2023-03-26 23:14:11.149,General ,TWITTER,Evil Exhibited ,242,16,Text,6.6115702479338845
247,2023-03-26 23:13:48.866,General ,TWITTER,Evil Exhibited ,293,5,Text,1.7064846416382253
249,2023-03-26 23:09:36.760,General ,TWITTER,Evil Exhibited ,209,4,Text,1.9138755980861244
250,2023-03-26 23:09:08.803,General ,TWITTER,Evil Exhibited ,201,5,Text,2.4875621890547266
253,2023-03-26 23:06:05.083,General ,TWITTER,Evil Exhibited ,123,4,Text,3.2520325203252036
255,2023-03-26 23:01:22.569,General ,TWITTER,Evil Exhibited ,100899,464,Photo,0.4598658064004599
256,2023-03-26 21:52:08.806,General ,TWITTER,Evil Exhibited ,11145,35,Photo,0.31404217137729923
257,2023-03-26 20:53:13.061,General ,TWITTER,Evil Exhibited ,19084,91,Photo,0.4768392370572207
258,2023-03-26 20:00:05.869,DOTA2,TWITTER,N/A ,10,0,Text,0.0
260,2023-03-26 18:01:58.185,General ,TWITTER,Evil Exhibited ,56409,206,Photo,0.3651899519580209
261,2023-03-26 17:20:20.393,General ,TWITTER,Community Engagement ,13601,154,Photo,1.1322696860524961
263,2023-03-26 17:18:30.000,General ,INSTAGRAM,Community Engagement ,3831,0,Photo,0.0
264,2023-03-26 17:14:37.000,General ,INSTAGRAM,Community Engagement ,3993,0,Photo,0.0
266,2023-03-26 16:53:34.000,General ,INSTAGRAM,Community Engagement ,4044,0,Video,0.0
269,2023-03-26 16:46:10.116,DOTA2,TWITTER,N/A ,204,6,Text,2.941176470588235
270,2023-03-26 16:44:41.900,DOTA2,TWITTER,N/A ,4921,403,Photo,8.189392399918717
271,2023-03-26 16:42:33.328,General ,TWITTER,N/A ,13633,174,Photo,1.276314824323333
272,2023-03-26 16:42:14.749,DOTA2,TWITTER,Community Engagement ,948,24,Photo,2.5316455696202533
273,2023-03-26 16:42:13.000,General ,FBPAGE,Community Engagement ,24893,1610,Photo,6.4676816775800425
274,2023-03-26 16:41:32.000,General ,INSTAGRAM,Community Engagement ,4233,0,Photo,0.0
276,2023-03-26 16:40:07.686,General ,TWITTER,Community Engagement ,13080,169,Photo,1.2920489296636086
278,2023-03-26 16:35:41.974,General ,TWITTER,Community Engagement ,12303,350,Photo,2.8448345931886534
279,2023-03-26 16:34:48.691,DOTA2,TWITTER,N/A ,858,14,Text,1.6317016317016315
280,2023-03-26 16:27:35.258,General ,TWITTER,Community Engagement ,28257,937,Text,3.315992497434264
281,2023-03-26 15:55:39.074,DOTA2,TWITTER,N/A ,140,2,Video,1.4285714285714286
282,2023-03-26 15:52:32.040,DOTA2,TWITTER,N/A ,661,14,Link,2.118003025718608
283,2023-03-26 15:40:11.910,General ,TWITTER,Community Engagement ,2124,40,Video,1.8832391713747645
285,2023-03-26 15:39:33.168,General ,TWITTER,Community Engagement ,11554,232,Video,2.0079626103513935
286,2023-03-26 15:38:57.480,DOTA2,TWITTER,N/A ,779,21,Video,2.6957637997432604
288,2023-03-26 15:26:52.000,General ,INSTAGRAM,Community Engagement ,4312,0,Video,0.0
290,2023-03-26 14:59:37.357,DOTA2,TWITTER,N/A ,617,12,Link,1.9448946515397085
293,2023-03-26 14:47:44.988,General ,TWITTER,Community Engagement ,5202,226,Photo,4.344482891195693
294,2023-03-26 14:45:56.908,General ,TWITTER,Community Engagement ,10227,93,Photo,0.9093575828688765
296,2023-03-26 14:43:58.197,DOTA2,TWITTER,N/A ,1171,30,Text,2.5619128949615715
298,2023-03-26 14:39:10.383,General ,TWITTER,Community Engagement ,1839,58,Video,3.1538879825992385
299,2023-03-26 14:39:04.115,DOTA2,TWITTER,N/A ,355,9,Text,2.535211267605634
301,2023-03-26 14:38:04.051,General ,TWITTER,Community Engagement ,12912,211,Photo,1.6341387856257743
302,2023-03-26 14:18:34.529,DOTA2,TWITTER,N/A ,585,9,Video,1.5384615384615385
303,2023-03-26 14:05:18.332,DOTA2,TWITTER,N/A ,562,13,Photo,2.3131672597864767
304,2023-03-26 14:02:07.113,DOTA2,TWITTER,Community Engagement ,1040,29,Photo,2.7884615384615388
305,2023-03-26 14:02:06.000,General ,FBPAGE,Community Engagement ,16814,829,Photo,4.930415130248603
306,2023-03-26 14:01:16.646,General ,TWITTER,Community Engagement ,31115,221,Photo,0.7102683593122289
307,2023-03-26 14:01:15.000,General ,INSTAGRAM,Community Engagement ,4347,0,Photo,0.0
308,2023-03-26 13:51:59.596,DOTA2,TWITTER,N/A ,12015,526,Photo,4.3778610070744906
309,2023-03-26 13:46:51.000,General ,INSTAGRAM,Community Engagement ,4630,0,Video,0.0
315,2023-03-26 12:30:06.496,DOTA2,TWITTER,Community Engagement ,4722,637,Photo,13.490046590427784
316,2023-03-26 12:09:48.321,DOTA2,TWITTER,N/A ,206,3,Text,1.4563106796116505
318,2023-03-26 12:02:17.681,DOTA2,TWITTER,N/A ,666,5,Text,0.7507507507507507
319,2023-03-26 12:01:15.469,DOTA2,TWITTER,Community Engagement ,3723,161,Photo,4.3244695138329305
320,2023-03-26 12:01:15.000,General ,FBPAGE,Community Engagement ,41892,4219,Photo,10.071135300296
321,2023-03-26 12:00:40.638,General ,TWITTER,Community Engagement ,20912,378,Photo,1.807574598316756
322,2023-03-26 12:00:14.000,General ,INSTAGRAM,Community Engagement ,17411,528,Carousel,3.0325656194359887
323,2023-03-26 12:00:01.832,DOTA2,TWITTER,Community Engagement ,999,23,Photo,2.3023023023023024
324,2023-03-26 12:00:01.000,General ,FBPAGE,Community Engagement ,16484,782,Photo,4.743994176170832
325,2023-03-26 11:00:01.909,General ,TWITTER,Community Engagement ,9539,82,Photo,0.8596288919173918
327,2023-03-26 10:12:49.090,DOTA2,TWITTER,Community Engagement ,1419,58,Photo,4.08738548273432
328,2023-03-26 10:12:48.000,General ,FBPAGE,Community Engagement ,26659,1554,Photo,5.8291758880678195
333,2023-03-26 10:00:12.000,General ,INSTAGRAM,Community Engagement ,9547,321,Photo,3.362312768408924
334,2023-03-26 10:00:01.689,General ,TWITTER,Community Engagement ,11448,131,Photo,1.1443046820405312
335,2023-03-26 09:29:45.000,General ,INSTAGRAM,Community Engagement ,5825,0,Photo,0.0
336,2023-03-26 09:04:27.027,General ,TWITTER,Community Engagement ,2773,27,Text,0.9736747205192933
341,2023-03-26 07:58:11.941,DOTA2,TWITTER,N/A ,465,15,Photo,3.225806451612903
342,2023-03-26 07:57:38.000,General ,FBPAGE,N/A ,26074,3969,Photo,15.222060289944006
345,2023-03-26 07:47:04.000,General ,FBPAGE,Community Engagement ,26074,3969,Photo,15.222060289944006
346,2023-03-26 07:47:04.000,General ,FBPAGE,Community Engagement ,52147,7937,Photo,15.220434540817305
347,2023-03-26 07:47:03.742,DOTA2,TWITTER,Community Engagement ,3371,176,Photo,5.22100266983091
348,2023-03-25 19:21:40.217,CSGO,TWITTER,Community Engagement ,1015,15,Photo,1.477832512315271
349,2023-03-25 18:14:36.580,CSGO,TWITTER,Community Engagement ,1310,10,Photo,0.7633587786259541
350,2023-03-25 17:53:59.452,General ,TWITTER,Evil Exhibited ,14708,37,Photo,0.25156377481642644
351,2023-03-25 17:10:08.141,CSGO,TWITTER,Community Engagement ,1986,28,Photo,1.4098690835850958
352,2023-03-25 16:41:40.960,General ,TWITTER,Evil Exhibited ,17251,321,Video,1.8607616949742043
353,2023-03-25 16:38:07.974,General ,TWITTER,Evil Exhibited ,14698,12,Photo,0.08164376105592598
354,2023-03-25 16:33:24.302,General ,TWITTER,Evil Exhibited ,13082,236,Video,1.8040055037456049
355,2023-03-25 15:44:26.332,General ,TWITTER,Evil Exhibited ,22450,70,Photo,0.311804008908686
357,2023-03-25 14:09:57.109,General ,TWITTER,Evil Exhibited ,8707,29,Photo,0.3330653497186172
358,2023-03-25 13:12:53.857,General ,TWITTER,Evil Exhibited ,16491,91,Photo,0.5518161421381359
359,2023-03-25 12:00:01.245,General ,TWITTER,Community Engagement ,9919,57,Photo,0.57465470309507
362,2023-03-25 11:00:14.000,General ,INSTAGRAM,Community Engagement ,13290,276,Carousel,2.076749435665914
363,2023-03-25 11:00:03.553,General ,TWITTER,Community Engagement ,13271,479,Photo,3.6093738226207517
364,2023-03-25 11:00:02.821,DOTA2,TWITTER,Community Engagement ,1085,51,Photo,4.700460829493087
365,2023-03-25 11:00:00.000,General ,FBPAGE,Community Engagement ,28898,1041,Photo,3.6023254204443216
366,2023-03-25 10:13:19.000,General ,FBPAGE,Community Engagement ,20993,1561,Photo,7.435811937312438
367,2023-03-25 10:09:56.532,DOTA2,TWITTER,N/A ,978,16,Photo,1.6359918200409
368,2023-03-25 10:07:40.445,General ,TWITTER,Community Engagement ,185,8,Text,4.324324324324325
